,1.1.1) Internet users,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
186,87.4,45.02,50594.0,99.0,95.7,96.2,2.0,2.0,100.0,100.0,71.3,0.507,0.299,1.05,3364.0,2379.0,2.0,2.0,2.0,2.0,3.0,84.0,93.5,2.0,100.0,14.1,2.0,3.0,2.0,52.0,36.0,22.0,20.0,50.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,82.8,31.9,100.0,100.0,1.5,8.6,81.0,8.2,0.8,84.2,89.0,87.0,31861900.0
187,87.9,54.68,53757.0,99.0,95.7,96.2,2.0,2.0,100.0,100.0,68.0,0.507,0.464,1.08,3352.0,2363.0,2.0,2.0,2.0,2.0,3.0,82.0,93.5,2.0,100.0,14.1,2.0,2.0,2.0,48.0,26.0,18.0,14.0,46.9,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,82.8,31.9,100.0,94.4,1.5,8.6,81.0,8.2,0.9,84.4,86.0,89.0,33243300.0
188,89.9,72.35,53757.0,99.0,95.7,98.2,2.0,2.0,100.0,100.0,63.0,0.507,0.464,1.08,3363.0,2338.0,4.0,2.0,2.0,2.0,2.0,92.0,92.9,2.0,100.0,14.1,2.0,3.0,2.0,66.0,46.0,22.0,20.0,60.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,82.8,31.9,100.0,94.4,1.5,8.7,80.0,8.1,0.9,87.0,88.0,87.0,34174900.0
189,90.8,91.71,53757.0,99.0,95.7,98.6,2.0,2.0,100.0,100.0,74.0,0.305,0.464,1.08,3372.0,2737.0,4.0,1.0,2.0,2.0,2.0,67.3,92.9,2.0,100.0,14.1,3.0,3.0,2.0,63.5,42.3,21.2,21.2,50.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,82.8,31.9,100.0,94.4,1.5,8.7,80.0,8.1,0.9,88.1,90.0,83.0,35071539.0
190,28.6,7.66,9093.0,96.79,80.0,23.0,2.0,1.0,92.2,49.5,35.6,4.11,3.243,11.35,2948.0,3963.0,2.0,0.0,1.0,1.0,2.0,66.0,30.5,1.0,71.5,6.9,2.0,0.0,2.0,40.7,45.3,32.0,18.5,52.8,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,28.5,43.5,79.3,49.3,1.8,6.9,47.0,5.3,0.4,25.0,32.0,14.0,73132.0
191,32.5,12.24,9522.0,96.79,80.0,34.86,2.0,1.0,95.4,70.52,41.3,3.56,3.63,15.43,2939.0,3889.0,2.0,1.0,1.0,2.0,2.0,66.0,35.0,1.0,71.5,7.1,3.0,1.0,2.0,52.0,52.0,32.0,22.0,57.2,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,29.1,43.5,79.0,49.3,1.8,6.8,43.0,5.3,0.4,34.7,32.0,14.0,86596.0
192,22.4,19.27,18647.0,96.79,80.0,34.86,2.0,1.0,96.83,68.78,42.5,3.298,2.919,14.59,3526.0,3660.0,2.0,2.0,1.0,2.0,2.0,79.6,35.0,1.0,71.5,7.1,3.0,1.0,2.0,40.7,61.1,42.6,18.5,59.6,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,29.8,43.5,82.39,33.6,1.8,6.7,40.0,5.3,0.5,37.9,35.0,21.0,56810.0
193,22.4,22.87,18647.0,96.79,80.0,34.86,0.0,1.0,93.0,73.2,42.8,2.027,2.919,14.59,3776.0,3455.0,3.0,2.0,1.0,2.0,1.0,86.0,42.8,1.0,79.0,7.2,3.0,0.0,2.0,58.0,48.0,50.0,44.0,53.1,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,30.4,43.5,82.39,19.9,1.8,6.6,41.0,5.3,0.5,37.9,50.0,41.0,62320.0
194,22.4,37.79,18647.0,96.98,95.82,67.65,2.0,1.0,93.0,74.5,38.7,0.857,2.919,14.59,4175.0,4750.0,3.0,1.0,1.0,2.0,1.0,79.2,42.8,2.0,79.0,7.2,3.0,2.0,2.0,47.2,45.3,39.6,30.2,52.8,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,31.1,43.5,82.39,19.9,1.8,6.6,41.0,5.3,0.6,37.9,46.0,35.0,57465.0
195,68.1,12.02,77597.0,99.9,99.3,83.0,2.0,2.0,99.99,100.0,68.5,2.199,0.982,1.15,3728.0,2780.0,2.0,3.0,2.0,2.0,3.0,94.0,58.6,2.0,97.7,10.6,3.0,3.0,2.0,28.0,26.0,8.0,10.0,54.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,10.6,35.0,100.0,89.1,2.0,7.5,46.0,5.5,0.7,66.8,68.0,61.0,3439034.0
