,1.1.1) Internet users,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
222,82.4,93.95,60929.0,99.0,99.0,99.0,2.0,2.0,100.0,100.0,66.8,1.562,1.499,1.99,3557.0,2455.0,2.0,3.0,1.0,2.0,2.0,90.6,79.0,1.0,99.4,11.9,3.0,0.0,2.0,32.1,22.6,32.1,9.4,43.4,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,9.7,30.6,100.0,98.7,1.5,6.6,45.0,6.8,0.7,76.8,75.0,69.0,2956585.0
223,83.3,116.16,60929.0,99.2,99.2,99.2,2.0,2.0,100.0,100.0,68.9,1.562,1.499,1.99,3518.0,2782.0,4.0,3.0,1.0,2.0,2.0,96.0,78.9,1.0,99.4,11.9,3.0,0.0,2.0,42.0,28.0,36.0,26.0,40.8,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,9.7,30.6,100.0,98.7,1.5,6.6,46.0,6.8,0.7,76.1,78.0,77.0,3079549.0
224,86.2,134.5,60929.0,99.2,99.2,99.2,2.0,0.0,100.0,100.0,70.3,0.311,1.499,1.99,3461.0,2806.0,4.0,3.0,1.0,2.0,2.0,76.0,78.9,1.0,99.4,11.9,3.0,0.0,2.0,40.0,26.0,20.0,20.0,48.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,9.7,30.6,100.0,98.7,1.6,6.6,44.0,6.9,0.8,80.4,76.0,74.0,3189689.0
225,20.0,8.97,8570.0,95.0,74.0,4.0,2.0,1.0,96.0,74.0,23.0,2.69,2.923,5.02,1172.0,3337.0,2.0,1.0,2.0,2.0,1.0,83.9,34.0,2.0,72.1,6.2,2.0,3.0,2.0,57.4,51.9,22.2,30.4,64.8,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1324.5,37.8,89.67,38.0,2.6,7.7,38.0,5.2,0.4,17.0,20.0,8.0,16942750.0
226,22.6,14.14,20986.0,96.0,79.67,73.5,2.0,2.0,97.3,74.36,24.0,1.53,3.056,4.58,1116.0,3128.0,2.0,1.0,2.0,2.0,2.0,100.0,44.0,2.0,72.1,6.4,2.0,1.0,2.0,64.0,82.0,46.0,40.0,76.6,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1338.7,37.8,92.6,38.0,2.5,7.8,40.0,5.2,0.5,22.0,24.0,18.0,18653312.0
227,25.4,21.71,22775.0,97.0,88.0,88.0,2.0,2.0,98.0,82.14,58.7,0.48,4.018,4.46,1362.0,2904.0,2.0,1.0,2.0,2.0,2.0,83.9,44.0,2.0,72.1,6.5,2.0,3.0,2.0,71.4,73.2,32.1,30.4,64.8,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1352.6,37.8,95.24,24.4,2.5,7.2,40.0,5.3,0.6,32.0,20.0,8.0,17856024.0
228,23.8,29.7,100527.0,97.0,94.0,94.0,2.0,2.0,99.6,91.9,53.7,0.448,4.018,4.46,2701.0,2708.0,4.0,0.0,2.0,2.0,3.0,96.0,57.0,2.0,74.4,6.5,2.0,3.0,2.0,74.0,66.0,44.0,38.0,80.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1366.4,37.8,95.24,24.4,2.6,7.2,41.0,5.4,0.6,20.1,35.0,15.0,18170000.0
229,23.8,40.54,100527.0,99.06,98.15,97.92,2.0,2.0,100.0,99.4,61.8,0.893,4.018,4.46,2817.0,2094.0,4.0,1.0,2.0,2.0,3.0,87.0,57.0,2.0,74.4,6.5,2.0,3.0,2.0,57.4,51.9,22.2,37.0,68.5,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1380.0,37.8,95.24,32.9,2.6,6.9,41.0,5.5,0.6,20.1,28.0,11.0,19749488.0
230,42.0,10.36,26604.0,87.9,60.0,5.0,2.0,1.0,94.2,65.6,16.0,1.45,1.437,10.06,2937.0,3980.0,2.0,2.0,1.0,1.0,2.0,80.0,33.0,2.0,95.2,7.9,3.0,1.0,2.0,66.0,32.0,18.0,24.0,48.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,258.2,39.4,97.62,51.9,1.8,7.0,36.0,5.2,0.4,22.1,34.0,28.0,3983000.0
231,47.2,12.71,25105.0,87.9,74.86,22.6,2.0,1.0,99.16,81.61,19.8,0.95,1.989,10.74,2951.0,3942.0,2.0,2.0,1.0,1.0,2.0,88.0,36.0,2.0,95.4,8.0,3.0,0.0,2.0,66.0,62.0,28.0,24.0,51.1,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,260.6,39.4,98.14,51.9,1.8,7.0,37.0,5.2,0.4,25.4,34.0,28.0,5227393.0
232,57.3,15.52,30400.0,98.6,93.78,90.42,2.0,1.0,100.0,88.6,52.8,0.779,1.397,7.96,3188.0,3995.0,2.0,2.0,1.0,1.0,2.0,96.0,36.0,2.0,95.4,8.0,3.0,0.0,2.0,74.0,60.0,46.0,34.0,64.4,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,262.9,39.0,98.51,51.2,1.9,6.4,37.0,5.3,0.5,32.3,34.0,31.0,6215923.0
233,66.2,18.63,52996.0,98.71,97.7,97.59,2.0,1.0,100.0,96.2,45.9,1.206,1.397,7.96,3306.0,6612.0,4.0,2.0,1.0,1.0,2.0,92.0,50.1,2.0,95.7,8.0,3.0,0.0,2.0,84.0,58.0,50.0,32.0,73.5,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,265.3,39.0,98.51,51.2,1.8,6.4,38.0,5.4,0.5,39.9,37.0,34.0,8874116.0
234,66.2,21.29,132949.0,98.71,97.7,97.59,2.0,2.0,100.0,98.8,37.9,1.172,1.397,7.96,3050.0,6939.0,4.0,1.0,2.0,2.0,3.0,80.0,50.1,2.0,95.7,8.0,3.0,0.0,2.0,68.0,32.0,18.0,24.0,48.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,267.5,39.0,98.51,61.4,1.8,6.5,40.0,5.6,0.7,47.7,46.0,41.0,9411805.0
235,55.5,5.17,8371.0,94.2,59.81,14.06,2.0,2.0,100.0,94.8,29.4,1.66,0.84,0.85,4787.0,4408.0,2.0,3.0,2.0,2.0,3.0,85.9,42.6,2.0,86.8,9.9,3.0,1.0,2.0,52.2,49.5,35.1,27.6,54.3,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,79.6,40.0,100.0,89.1,2.4,2.2,27.0,3.9,0.5,45.3,51.0,61.0,6608662.0
236,62.2,8.35,15409.0,96.5,62.67,28.94,2.0,2.0,100.0,96.3,33.3,1.66,0.706,1.08,4851.0,3680.0,2.0,2.0,2.0,2.0,3.0,89.4,69.0,2.0,85.5,10.0,3.0,2.0,2.0,52.2,56.6,32.7,28.4,57.8,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,80.7,40.8,100.0,89.1,2.4,2.3,29.0,3.8,0.5,53.2,51.0,53.0,7608560.0
237,72.8,10.9,20303.0,96.5,77.0,74.0,2.0,2.0,100.0,96.3,36.9,0.369,0.666,1.02,4779.0,3436.0,2.0,2.0,2.0,2.0,3.0,88.7,69.0,2.0,85.5,10.0,3.0,2.0,2.0,53.8,52.3,35.1,27.6,54.3,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,81.8,40.8,100.0,36.3,2.4,2.5,30.0,3.8,0.6,64.0,74.0,61.0,8599949.0
238,79.6,13.22,23697.0,96.5,79.0,76.0,2.0,2.0,100.0,95.7,40.5,0.369,0.666,1.02,4577.0,3176.0,4.0,2.0,2.0,2.0,3.0,94.3,76.9,2.0,85.5,10.0,3.0,0.0,2.0,57.5,50.9,35.1,29.7,55.2,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,82.9,40.8,100.0,36.3,2.5,2.5,28.0,3.7,0.6,70.0,61.0,61.0,9806123.0
239,79.6,17.44,23697.0,96.5,85.0,81.0,2.0,2.0,100.0,96.1,31.2,0.369,0.666,1.02,4515.0,2773.0,4.0,2.0,2.0,2.0,3.0,85.9,76.9,2.0,85.5,10.0,3.0,0.0,2.0,52.4,49.5,31.2,31.7,54.7,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,84.0,40.8,100.0,36.3,2.7,2.4,26.0,3.7,0.7,70.0,68.0,63.0,8626182.0
240,85.0,36.6,75942.0,99.0,95.0,90.0,0.0,2.0,99.99,100.0,95.7,0.523,0.343,1.19,3570.0,2364.0,2.0,2.0,2.0,2.0,3.0,82.0,77.7,2.0,100.0,12.3,3.0,0.0,2.0,39.2,36.0,22.0,14.0,58.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.7,32.8,100.0,89.1,2.0,8.8,75.0,8.0,0.8,83.5,82.0,90.0,1309467.0
241,87.0,38.21,75942.0,99.0,95.0,90.0,0.0,2.0,100.0,100.0,95.3,0.523,0.329,1.26,3564.0,2286.0,2.0,2.0,2.0,2.0,3.0,82.0,90.0,2.0,100.0,12.5,3.0,4.0,2.0,48.0,36.0,22.0,14.0,68.1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.8,32.8,100.0,93.9,1.4,9.2,73.0,8.0,0.8,83.5,91.0,88.0,1360204.0
242,89.0,48.93,78786.0,99.0,95.0,90.0,0.0,2.0,100.0,100.0,92.2,0.523,0.556,1.14,3576.0,2255.0,2.0,2.0,2.0,2.0,3.0,90.2,90.0,2.0,100.0,12.5,3.0,0.0,2.0,39.2,41.2,35.3,25.5,66.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.8,32.8,100.0,92.3,1.4,9.2,74.0,7.9,0.8,84.1,82.0,90.0,1398798.0
243,89.1,65.75,78786.0,99.0,95.0,90.0,0.0,2.0,100.0,100.0,99.3,0.523,0.556,1.14,3643.0,2290.0,4.0,3.0,2.0,2.0,3.0,92.0,93.3,2.0,100.0,12.5,3.0,0.0,2.0,46.0,46.0,40.0,32.0,60.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.9,32.8,100.0,92.3,1.4,9.2,73.0,7.9,0.8,84.5,87.0,94.0,1430160.0
244,89.1,80.63,78786.0,99.0,95.0,90.0,0.0,2.0,100.0,100.0,95.4,0.116,0.556,1.14,3557.0,2214.0,4.0,2.0,2.0,2.0,3.0,88.0,93.3,2.0,100.0,12.5,3.0,0.0,2.0,58.0,48.0,30.0,18.0,58.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.9,32.8,100.0,92.3,1.4,9.2,74.0,7.8,0.8,84.5,85.0,90.0,1462549.0
245,74.3,33.11,55092.0,99.0,99.0,60.0,2.0,2.0,99.99,100.0,56.1,1.407,1.07,1.11,2266.0,2800.0,4.0,3.0,2.0,1.0,3.0,84.0,76.1,2.0,97.8,12.9,3.0,2.0,2.0,26.0,58.0,46.0,28.0,57.4,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,8.5,39.0,100.0,60.3,2.3,7.8,61.0,7.3,0.8,77.4,83.0,82.0,2173000.0
246,75.4,38.28,58058.0,99.0,99.0,70.0,2.0,2.0,100.0,100.0,59.6,1.407,0.421,1.07,2279.0,2747.0,4.0,3.0,2.0,1.0,3.0,84.0,81.0,2.0,97.8,13.0,3.0,2.0,2.0,26.0,58.0,46.0,28.0,57.4,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,8.7,39.0,100.0,85.0,2.1,7.8,64.0,7.5,0.8,79.7,90.0,84.0,2258000.0
247,74.1,52.17,57245.0,99.0,99.0,82.0,2.0,2.0,100.0,100.0,66.1,1.407,0.437,0.88,2266.0,2685.0,2.0,3.0,2.0,1.0,3.0,84.0,81.0,2.0,97.8,12.8,3.0,2.0,2.0,26.0,58.0,46.0,28.0,57.4,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,8.9,39.0,100.0,85.0,2.8,7.8,62.0,7.6,0.8,81.6,88.0,87.0,2342000.0
248,74.9,69.74,57245.0,99.0,99.0,90.0,2.0,2.0,100.0,100.0,69.7,1.407,0.437,0.88,2101.0,2587.0,4.0,3.0,2.0,1.0,3.0,84.0,86.3,2.0,97.8,13.0,3.0,2.0,2.0,26.0,58.0,46.0,28.0,57.4,2.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,9.1,39.0,100.0,85.0,2.8,7.8,61.0,7.6,0.8,83.7,92.0,94.0,2435000.0
249,75.9,89.95,57245.0,99.0,99.0,94.0,2.0,2.0,100.0,100.0,72.3,0.347,0.437,0.88,2056.0,2530.0,4.0,3.0,2.0,1.0,3.0,96.0,86.3,2.0,97.8,13.0,3.0,2.0,2.0,40.0,48.0,40.0,40.0,60.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,9.2,39.0,100.0,85.0,2.8,7.9,60.0,7.6,0.8,86.8,83.0,82.0,2481000.0
250,66.2,16.4,28392.0,100.0,100.0,93.0,2.0,2.0,100.0,100.0,64.8,0.925,0.404,1.0,2533.0,2858.0,2.0,3.0,2.0,2.0,3.0,82.7,63.5,2.0,99.2,10.1,3.0,2.0,2.0,26.0,20.0,13.7,18.0,54.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,60.7,35.2,100.0,85.3,1.8,8.0,44.0,6.5,0.8,58.1,87.0,76.0,14900171.0
251,69.2,23.22,32257.0,100.0,100.0,96.0,2.0,2.0,100.0,100.0,63.9,0.925,0.415,1.66,3361.0,2810.0,2.0,3.0,2.0,2.0,3.0,86.0,74.0,2.0,99.2,10.2,3.0,2.0,2.0,26.0,24.0,20.0,18.0,65.9,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,60.7,35.9,100.0,85.3,1.7,8.0,47.0,6.5,0.8,61.3,89.0,83.0,15563279.0
252,71.7,37.43,33968.0,100.0,100.0,98.0,2.0,2.0,100.0,100.0,69.7,0.925,0.431,1.72,3351.0,2694.0,2.0,3.0,2.0,2.0,3.0,96.1,74.0,2.0,99.2,10.2,3.0,2.0,2.0,37.3,23.5,13.7,17.6,54.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,60.6,35.9,100.0,88.3,1.8,8.0,50.0,6.5,0.8,63.1,87.0,76.0,16586376.0
253,75.1,51.17,33968.0,100.0,100.0,99.0,2.0,2.0,100.0,100.0,71.7,0.925,0.431,1.72,3012.0,2597.0,4.0,3.0,2.0,2.0,3.0,96.0,81.6,2.0,99.2,10.2,3.0,2.0,2.0,50.0,20.0,24.0,18.0,62.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,60.6,35.9,100.0,88.3,1.7,7.7,52.0,6.6,0.8,74.4,92.0,82.0,17060505.0
254,76.1,61.37,33968.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,83.9,0.538,0.431,1.72,2823.0,2521.0,4.0,3.0,2.0,2.0,3.0,82.7,81.6,2.0,99.2,10.2,3.0,2.0,2.0,48.1,28.8,21.2,15.4,67.3,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,60.5,35.9,100.0,88.3,1.7,7.5,53.0,6.6,0.8,74.4,97.0,87.0,17376499.0
255,34.6,16.18,35654.0,100.0,90.0,0.0,2.0,0.0,98.4,98.4,52.6,3.94,3.269,5.97,5968.0,6954.0,2.0,0.0,0.0,2.0,2.0,84.0,47.6,1.0,88.5,9.5,3.0,2.0,0.0,34.0,46.0,20.0,16.0,54.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.7,45.5,97.0,93.3,2.3,7.4,41.0,5.8,0.4,42.2,71.0,64.0,228890.0
256,39.5,19.58,47309.0,100.0,95.0,5.0,2.0,0.0,100.0,95.55,52.2,1.81,3.128,5.71,5840.0,7218.0,2.0,0.0,1.0,2.0,2.0,88.0,65.0,1.0,88.5,9.7,3.0,1.0,0.0,44.0,68.0,22.0,22.0,58.9,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.7,45.5,97.96,93.3,2.1,7.4,39.0,5.8,0.5,44.4,39.4,44.9,286068.0
257,52.9,21.81,50355.0,100.0,95.0,45.0,2.0,0.0,100.0,95.55,52.6,1.49,5.342,8.76,5776.0,5024.0,2.0,0.0,1.0,2.0,3.0,84.0,65.0,1.0,88.5,9.8,3.0,3.0,0.0,40.0,66.0,42.0,30.0,55.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.7,45.5,98.93,72.8,2.1,7.3,44.0,5.8,0.5,55.1,71.0,64.0,239120.0
258,52.9,23.27,50355.0,100.0,98.0,73.0,2.0,2.0,100.0,97.8,46.4,1.857,5.342,8.76,5506.0,5601.0,4.0,0.0,0.0,2.0,2.0,92.0,58.2,1.0,88.5,9.8,3.0,2.0,0.0,78.0,46.0,38.0,32.0,54.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.7,45.5,98.93,72.8,2.0,7.0,44.0,5.8,0.5,55.1,71.0,64.0,284756.0
259,52.9,33.47,50355.0,100.0,99.0,94.0,2.0,2.0,100.0,96.8,62.8,1.857,5.342,8.76,5606.0,5343.0,4.0,0.0,0.0,2.0,2.0,94.0,58.2,1.0,88.5,9.8,3.0,2.0,2.0,34.0,74.0,20.0,16.0,54.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.7,45.5,98.93,72.8,2.0,7.0,43.0,5.8,0.5,55.1,73.0,75.0,317907.0
260,97.2,59.12,21610.0,99.9,99.9,99.0,2.0,2.0,100.0,100.0,54.6,3.689,1.351,0.56,3562.0,1921.0,2.0,3.0,2.0,2.0,3.0,72.0,86.1,2.0,100.0,12.5,3.0,2.0,2.0,26.0,23.1,16.0,10.0,37.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,127.8,32.9,100.0,98.7,1.4,8.0,75.0,7.4,0.9,91.1,76.0,64.0,38872579.0
261,96.2,75.58,22679.0,99.9,99.9,99.0,2.0,2.0,100.0,100.0,56.8,3.689,1.542,0.64,3590.0,1933.0,2.0,3.0,2.0,2.0,3.0,72.0,93.6,2.0,100.0,12.7,3.0,2.0,2.0,26.0,28.0,16.0,10.0,37.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,127.5,32.9,100.0,98.7,1.4,8.0,72.0,7.6,0.8,93.2,76.0,64.0,39805586.0
262,96.2,85.91,24796.0,99.9,99.9,99.0,2.0,2.0,100.0,100.0,72.6,2.102,1.471,0.99,3575.0,1991.0,2.0,2.0,2.0,2.0,3.0,92.3,93.6,2.0,100.0,12.8,3.0,3.0,2.0,44.2,42.3,30.8,19.2,43.1,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,127.2,32.9,100.0,98.7,1.4,7.9,73.0,7.6,0.9,91.7,75.0,67.0,40532466.0
263,95.7,103.94,24796.0,99.9,99.9,99.0,2.0,2.0,100.0,100.0,77.6,1.874,1.471,0.99,3543.0,2019.0,4.0,1.0,2.0,2.0,3.0,90.0,87.6,2.0,100.0,12.8,3.0,4.0,2.0,26.0,42.0,26.0,26.0,38.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,126.9,32.9,100.0,98.7,1.4,8.0,73.0,7.5,0.9,91.3,76.0,66.0,41496293.0
264,95.7,110.98,24796.0,99.9,99.9,99.0,2.0,2.0,100.0,100.0,87.1,0.565,1.471,0.99,3526.0,2024.0,4.0,1.0,2.0,2.0,3.0,84.6,87.6,2.0,100.0,12.8,3.0,4.0,2.0,59.6,23.1,42.3,26.9,46.2,0.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,126.5,32.9,100.0,98.7,1.4,8.0,73.0,7.5,0.9,91.3,80.0,69.0,41496293.0
265,75.9,10.8,20289.0,99.0,99.0,80.0,2.0,2.0,100.0,100.0,32.6,2.17,2.808,9.32,3492.0,5269.0,4.0,0.0,2.0,1.0,3.0,82.0,41.3,2.0,98.0,10.3,3.0,2.0,0.0,46.0,44.0,32.0,18.0,48.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,9.8,33.7,99.93,60.3,2.3,3.9,53.0,5.7,0.5,60.1,79.0,60.0,309726.0
266,79.0,13.19,35788.0,99.0,97.5,87.0,2.0,2.0,100.0,100.0,35.9,1.48,4.301,9.25,3562.0,4277.0,4.0,0.0,2.0,1.0,3.0,82.0,50.0,2.0,98.0,10.4,3.0,2.0,0.0,46.0,44.0,32.0,18.0,48.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,10.1,33.7,100.0,70.7,2.1,4.0,48.0,5.6,0.5,62.3,74.0,60.0,297324.0
267,37.4,21.65,50241.0,99.98,99.2,90.0,2.0,2.0,100.0,100.0,38.6,2.458,4.877,8.37,3583.0,5036.0,2.0,0.0,2.0,1.0,3.0,82.0,50.0,2.0,98.0,10.1,3.0,2.0,0.0,50.0,56.0,32.0,18.0,48.6,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,10.3,33.7,99.9,91.4,2.1,3.9,48.0,5.6,0.6,66.8,79.0,75.0,331925.0
268,37.4,34.22,50241.0,99.98,99.8,99.0,2.0,2.0,100.0,100.0,39.2,2.332,4.877,8.37,3578.0,4952.0,4.0,0.0,2.0,1.0,3.0,96.0,49.2,2.0,98.0,10.5,3.0,2.0,0.0,46.0,44.0,32.0,34.0,50.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,10.6,33.7,99.9,73.1,2.0,3.9,49.0,5.6,0.6,66.8,75.0,79.0,399596.0
269,37.4,54.93,50241.0,100.0,99.8,99.0,2.0,2.0,100.0,100.0,42.8,3.586,4.877,8.37,3570.0,4461.0,4.0,1.0,2.0,1.0,3.0,92.0,49.2,2.0,98.2,10.5,3.0,2.0,0.0,46.0,64.0,32.0,28.0,48.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,11.2,33.7,99.9,73.1,2.0,3.9,48.0,5.4,0.5,66.8,79.0,78.0,469978.0
270,82.2,21.32,68350.0,96.6,72.7,65.5,2.0,2.0,100.0,100.0,41.6,0.62,0.471,0.92,3436.0,5050.0,2.0,3.0,1.0,1.0,2.0,74.0,36.5,2.0,99.8,11.7,3.0,3.0,2.0,36.0,44.0,18.0,16.7,32.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,17.8,27.2,100.0,97.0,2.0,3.1,28.0,5.0,0.7,70.8,71.0,68.0,2301000.0
271,84.4,24.69,85287.0,96.6,86.8,69.0,2.0,2.0,100.0,100.0,54.4,0.68,0.596,0.77,3430.0,5165.0,2.0,3.0,1.0,1.0,1.0,74.0,66.0,2.0,99.8,11.7,3.0,3.0,2.0,36.0,56.0,36.0,32.0,33.3,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,18.1,27.5,100.0,97.0,2.0,3.1,29.0,5.0,0.7,74.6,71.0,68.0,2349900.0
272,84.9,27.85,57896.0,96.6,87.5,72.9,2.0,2.0,100.0,100.0,57.7,0.323,0.682,0.88,3420.0,5128.0,2.0,3.0,1.0,1.0,2.0,94.4,66.0,2.0,99.8,11.8,3.0,3.0,2.0,16.7,48.1,27.8,16.7,32.7,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,18.3,27.5,100.0,97.0,2.0,3.1,31.0,5.1,0.8,76.4,71.0,71.0,2576100.0
273,87.6,34.78,55068.0,96.6,87.9,75.3,2.0,2.0,100.0,100.0,61.1,0.318,0.682,0.88,3407.0,5168.0,4.0,3.0,1.0,2.0,3.0,92.0,68.5,2.0,99.8,11.8,3.0,1.0,2.0,28.0,44.0,18.0,18.0,32.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,18.6,27.5,100.0,97.0,1.9,2.9,31.0,5.2,0.8,78.9,73.0,75.0,2462900.0
274,90.3,42.86,57645.0,98.0,88.8,75.7,2.0,0.0,100.0,100.0,59.1,0.263,0.682,0.88,3373.0,5059.0,4.0,3.0,1.0,2.0,3.0,80.0,68.5,2.0,99.8,11.8,3.0,1.0,2.0,36.0,44.0,30.0,26.0,34.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,18.8,27.5,100.0,97.0,1.9,2.9,34.0,5.3,0.8,81.9,81.0,77.0,2451400.0
275,29.9,9.92,107599.0,92.0,69.0,7.0,2.0,2.0,60.0,7.1,24.6,4.33,5.082,40.65,5216.0,3047.0,2.0,3.0,1.0,2.0,2.0,80.0,37.9,2.0,78.7,6.3,3.0,0.0,2.0,32.0,44.0,28.0,22.0,56.8,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,49.1,40.8,65.4,40.6,2.4,5.3,25.0,4.3,0.4,16.6,55.0,39.0,135107.0
276,30.0,12.86,105688.0,94.4,78.0,21.5,2.0,2.0,78.1,59.71,30.4,4.01,4.378,39.39,6034.0,3126.0,2.0,3.0,2.0,2.0,2.0,80.0,45.0,2.0,78.7,6.4,3.0,0.0,2.0,64.0,76.0,40.0,28.0,69.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,50.2,40.8,63.59,40.6,2.3,5.3,26.0,5.1,0.4,16.6,55.0,45.0,132702.0
277,25.0,15.99,386743.0,95.3,85.0,25.0,2.0,2.0,89.54,67.59,34.7,4.052,4.087,38.41,5424.0,2108.0,2.0,3.0,2.0,2.0,2.0,94.2,45.0,2.0,78.7,6.5,3.0,0.0,0.0,46.2,51.9,46.2,23.1,56.8,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,51.4,40.8,75.0,29.8,2.3,5.1,28.0,4.3,0.5,17.8,60.0,39.0,288303.0
278,25.0,16.2,386743.0,96.0,86.0,35.0,1.0,2.0,100.0,65.7,35.8,3.104,4.087,38.41,5051.0,2579.0,4.0,3.0,2.0,2.0,1.0,90.0,49.0,2.0,81.5,6.6,3.0,0.0,0.0,62.0,66.0,36.0,22.0,72.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,52.6,40.8,75.0,29.8,2.4,5.1,27.0,4.3,0.5,17.8,59.0,47.0,371498.0
