,1.1.4) Gender gap in internet access,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG17) Internet access gender gap,BG18) Mobile phone access gender gap,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
471,4.5,151.01,816819.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,85.2,0.477,0.326,0.49,3691.0,3018.0,2.0,1.0,2.0,2.0,3.0,88.5,90.0,2.0,97.0,11.5,3.0,2.0,2.0,53.8,65.4,30.8,23.1,68.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,5.6,45.9,100.0,100.0,1.5,6.4,84.0,8.4,0.9,4.0,6.0,84.5,15.714285714285715,15.000000000000002,284267.85714285716
472,1.2,166.07,954244.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,83.0,0.477,0.318,0.8,3703.0,3033.0,2.0,2.0,2.0,2.0,3.0,92.3,90.0,2.0,97.2,11.5,3.0,2.0,2.0,50.0,53.8,21.2,19.2,44.4,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,5.6,45.9,100.0,100.0,1.4,6.3,84.0,8.4,0.9,1.0,3.0,84.5,15.178571428571429,15.000000000000002,263517.85714285716
473,2.3,190.18,954244.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,70.4,0.477,0.318,0.8,3566.0,3182.0,4.0,1.0,2.0,2.0,3.0,88.0,95.1,2.0,97.3,11.5,3.0,2.0,2.0,52.0,66.0,18.0,18.0,49.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,5.7,45.9,100.0,100.0,1.3,6.4,85.0,8.5,0.9,2.0,1.0,88.2,15.43859649122807,15.087719298245613,262035.08771929823
474,4.4,203.51,954244.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,100.0,0.166,0.318,0.8,3461.0,3254.0,4.0,1.0,2.0,2.0,3.0,76.5,95.1,2.0,97.3,11.5,3.0,2.0,2.0,41.2,70.6,21.6,27.5,60.8,2.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,5.7,45.9,100.0,100.0,1.3,6.0,85.0,8.5,0.9,4.0,0.0,88.9,15.964912280701753,15.263157894736842,262824.56140350876
478,3.8,57.08,96326.0,100.0,95.0,94.0,2.0,2.0,100.0,100.0,62.9,1.805,0.815,1.22,3107.0,3348.0,4.0,3.0,2.0,2.0,3.0,94.0,85.3,2.0,99.6,12.6,1.0,0.0,2.0,36.0,26.0,14.0,22.0,74.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,5.5,25.2,100.0,99.9,1.5,7.1,50.0,6.9,0.7,3.0,2.0,80.4,14.545454545454545,14.0,274181.45454545453
479,2.5,77.82,70446.0,100.0,97.0,97.0,2.0,2.0,100.0,100.0,67.0,0.317,0.815,1.22,3040.0,3330.0,4.0,3.0,2.0,2.0,2.0,82.0,85.3,2.0,99.6,12.6,3.0,0.0,2.0,36.0,52.0,26.0,16.0,74.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.5,25.2,100.0,99.9,1.6,7.2,50.0,6.9,0.8,2.0,-3.0,82.9,14.727272727272727,14.363636363636363,288198.54545454547
481,5.5,12.82,17354.0,99.6,98.0,73.0,2.0,2.0,86.96,82.8,55.4,2.5,1.119,4.01,3377.0,2119.0,1.0,3.0,1.0,2.0,2.0,78.2,54.0,1.0,94.4,10.2,2.0,3.0,2.0,43.6,34.5,27.3,20.0,73.2,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,57.0,63.0,84.4,67.0,2.3,7.4,45.0,5.8,0.6,3.0,-2.0,54.0,0.9649122807017544,0.9122807017543859,20188.947368421053
482,2.1,16.75,10468.0,99.97,98.61,77.62,2.0,2.0,84.2,84.2,55.0,2.301,1.248,2.74,3375.0,2158.0,1.0,2.0,1.0,2.0,3.0,72.0,54.0,1.0,87.0,10.2,3.0,3.0,2.0,50.0,48.0,30.0,32.0,55.3,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,57.8,63.0,91.23,61.6,2.3,7.2,43.0,5.9,0.7,1.0,0.0,56.2,0.8304498269896194,0.8131487889273357,19432.335640138408
483,6.4,22.09,10468.0,99.97,99.51,90.32,2.0,2.0,96.2,92.3,60.3,2.175,1.248,2.74,3160.0,3013.0,4.0,3.0,2.0,2.0,3.0,86.0,54.4,1.0,87.0,10.2,3.0,3.0,2.0,60.0,48.0,46.0,34.0,69.4,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,58.6,63.0,91.23,61.6,2.4,7.2,43.0,5.9,0.7,3.0,-3.0,56.2,0.8020477815699658,0.7508532423208191,18891.006825938566
484,25.0,32.3,10468.0,99.97,99.66,94.41,2.0,2.0,95.3,92.4,59.9,1.453,1.248,2.74,3050.0,3300.0,4.0,2.0,2.0,2.0,3.0,90.4,54.4,1.0,87.0,10.2,3.0,3.0,2.0,48.1,42.3,32.7,28.8,57.7,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,59.3,63.0,91.23,61.6,2.3,7.2,44.0,6.0,0.7,15.0,2.0,56.2,1.0118043844856661,0.7588532883642496,21085.261382799326
486,8.1,123.23,53107.0,99.9,99.9,99.9,2.0,2.0,100.0,100.0,61.9,3.689,0.388,1.4,3727.0,2857.0,2.0,2.0,2.0,2.0,3.0,94.0,95.5,2.0,100.0,12.2,3.0,0.0,2.0,26.0,38.0,18.0,20.0,52.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,51.1,31.6,100.0,100.0,1.8,7.9,53.0,7.3,0.9,7.0,0.0,92.8,1.6829745596868884,1.5459882583170255,402263.85518590995
487,9.1,126.08,69734.0,99.9,99.9,99.9,2.0,2.0,100.0,100.0,68.4,2.102,0.385,1.39,3685.0,2832.0,2.0,2.0,2.0,2.0,3.0,82.4,95.5,2.0,100.0,12.2,3.0,1.0,2.0,45.1,39.2,29.4,15.7,47.9,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,51.2,31.6,100.0,100.0,1.8,8.0,54.0,7.4,0.9,8.0,1.0,95.1,1.71875,1.5625,413982.7734375
488,5.6,148.18,88300.0,99.9,99.9,99.9,2.0,2.0,100.0,100.0,70.3,1.874,0.385,1.39,3624.0,2821.0,4.0,0.0,2.0,2.0,3.0,86.0,89.4,2.0,100.0,12.2,3.0,1.0,2.0,34.0,32.0,28.0,24.0,50.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,51.2,31.6,100.0,100.0,1.9,8.0,57.0,7.4,0.9,5.0,1.0,96.0,1.7578125,1.66015625,415739.4140625
489,1.1,147.65,88300.0,99.9,99.9,99.9,2.0,2.0,100.0,100.0,68.1,0.492,0.385,1.39,3590.0,2983.0,4.0,0.0,2.0,2.0,3.0,76.0,89.4,2.0,100.0,12.2,3.0,2.0,2.0,54.0,50.0,36.0,30.0,50.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,51.3,31.6,100.0,100.0,1.8,8.0,59.0,7.5,1.0,1.0,2.0,96.2,1.695906432748538,1.676413255360624,427020.8966861599
491,1.1,57.24,26884.0,99.8,99.6,91.3,2.0,2.0,100.0,100.0,88.9,0.388,0.627,1.16,2921.0,3161.0,2.0,1.0,2.0,2.0,3.0,94.0,80.0,2.0,98.3,9.8,3.0,3.0,2.0,46.0,44.0,32.0,22.0,63.1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,46.6,34.7,100.0,100.0,1.6,8.3,58.0,7.4,0.8,1.0,4.0,80.6,1.9957081545064377,1.9742489270386265,302846.7167381974
492,1.1,81.36,26859.0,99.8,99.7,96.2,2.0,2.0,100.0,100.0,71.2,0.388,0.75,1.2,2816.0,2980.0,2.0,1.0,2.0,2.0,3.0,92.0,80.0,2.0,98.3,9.8,3.0,3.0,2.0,60.0,52.0,20.0,20.0,63.3,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,46.7,34.7,100.0,100.0,1.7,8.1,57.0,7.4,0.8,1.0,2.0,84.6,1.905781584582441,1.8843683083511775,314094.47537473234
493,5.2,110.45,26859.0,99.8,99.7,97.8,2.0,2.0,100.0,100.0,69.9,0.388,0.75,1.2,2710.0,2823.0,4.0,1.0,2.0,2.0,3.0,88.0,82.4,2.0,98.4,9.8,3.0,3.0,2.0,52.0,40.0,36.0,18.0,64.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,46.7,34.7,100.0,100.0,1.7,8.1,58.0,7.3,0.8,5.0,1.0,86.1,2.077087794432548,1.970021413276231,324988.3083511777
494,8.2,132.68,26859.0,99.8,99.7,99.4,2.0,2.0,100.0,100.0,78.8,0.28,0.75,1.2,2612.0,2664.0,4.0,2.0,2.0,2.0,3.0,90.2,82.4,2.0,98.4,9.8,3.0,3.0,2.0,66.7,49.0,33.3,29.4,76.5,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,46.8,34.7,100.0,100.0,1.7,8.2,62.0,7.3,0.9,8.0,-1.0,90.7,2.072649572649573,1.9017094017094018,333126.17521367525
496,17.3,17.64,44605.0,99.0,85.0,36.0,2.0,1.0,100.0,100.0,33.1,0.4,0.567,1.42,2546.0,5174.0,2.0,3.0,2.0,1.0,2.0,96.0,52.0,1.0,92.4,10.9,2.0,2.0,2.0,54.0,44.0,22.0,20.0,51.2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,21.1,39.8,97.5,17.8,2.0,6.5,36.0,5.0,0.5,6.9,7.7,16.4,2.725118483412322,2.3981042654028437,42283.601895734595
497,40.0,21.52,23349.0,99.72,88.0,48.0,2.0,1.0,100.0,100.0,45.5,0.242,0.485,1.22,2555.0,5125.0,2.0,3.0,2.0,1.0,2.0,90.0,52.0,1.0,91.9,10.9,1.0,2.0,2.0,56.0,48.0,50.0,34.0,47.7,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,21.2,39.8,99.58,17.8,2.0,6.5,38.0,5.1,0.6,14.0,9.0,34.1,1.650943396226415,0.9905660377358491,57570.943396226416
498,33.3,24.7,23349.0,99.0,86.0,80.0,2.0,1.0,100.0,100.0,39.7,0.232,0.485,1.22,3134.0,4972.0,4.0,3.0,2.0,1.0,2.0,100.0,49.6,1.0,91.9,11.1,3.0,2.0,0.0,64.0,56.0,48.0,50.0,75.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,21.3,39.8,99.58,17.8,2.0,6.2,38.0,5.1,0.6,15.0,16.0,34.1,2.112676056338028,1.408450704225352,72502.95774647887
499,12.5,27.37,23349.0,99.0,89.0,80.0,2.0,1.0,100.0,100.0,45.3,0.297,0.485,1.22,3334.0,4591.0,4.0,2.0,2.0,1.0,2.0,94.0,49.6,1.0,91.7,11.1,0.0,2.0,0.0,36.0,44.0,24.0,18.0,58.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,21.4,39.8,99.58,27.6,2.0,6.3,38.0,5.1,0.7,5.0,8.0,34.1,1.869158878504673,1.6355140186915889,72164.15887850468
501,34.9,5.02,4108.0,89.7,45.9,30.0,0.0,1.0,71.01,31.42,0.0,4.41,6.679,8.83,3591.0,5006.0,2.0,0.0,1.0,1.0,2.0,94.0,15.0,0.0,58.6,3.6,1.0,0.0,2.0,46.0,60.0,34.0,30.0,52.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,40.8,34.2,56.5,4.0,3.2,2.4,14.0,3.6,0.3,5.9,10.8,14.1,0.4142156862745098,0.26960784313725494,646.4705882352941
502,34.9,6.72,2094.0,89.7,45.99,35.0,0.0,0.0,71.01,31.42,0.0,0.606,12.242,13.6,3630.0,5004.0,2.0,1.0,1.0,1.0,2.0,72.0,15.0,0.0,58.6,3.7,1.0,1.0,2.0,46.0,52.0,42.0,24.0,65.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,41.8,34.2,59.78,4.0,3.2,2.1,16.0,3.6,0.2,5.9,9.9,30.9,0.4043062200956938,0.26315789473684215,730.8373205741627
503,34.9,8.09,2094.0,90.0,46.6,35.0,0.0,0.0,72.5,33.3,26.9,0.752,12.242,13.6,3702.0,5035.0,4.0,0.0,2.0,1.0,2.0,92.0,25.6,0.0,60.7,3.7,1.0,0.0,2.0,52.0,56.0,26.0,22.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,42.8,34.2,59.78,4.0,2.9,2.1,16.0,3.6,0.2,5.9,7.6,30.9,0.39485981308411217,0.25700934579439255,732.5233644859813
504,34.9,6.41,2094.0,90.9,55.5,35.0,0.0,0.0,71.0,34.5,16.0,1.121,12.242,13.6,3707.0,5044.0,4.0,0.0,2.0,1.0,2.0,82.0,25.6,0.0,60.7,3.7,1.0,1.0,2.0,52.0,52.0,24.0,32.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,43.8,34.2,59.78,4.0,3.0,2.7,16.0,3.6,0.3,5.9,10.1,30.9,0.3858447488584475,0.25114155251141557,715.799086757991
506,4.5,74.78,68042.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,74.4,0.238,0.255,0.95,2798.0,2210.0,2.0,2.0,2.0,2.0,3.0,86.3,94.6,2.0,100.0,12.4,3.0,3.0,2.0,49.0,58.8,37.3,21.6,52.1,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,9.9,28.8,100.0,100.0,1.5,9.4,88.0,8.3,0.9,4.0,0.0,89.7,8.98989898989899,8.585858585858585,371693.7373737374
507,5.3,89.12,69473.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,74.6,0.238,0.262,0.98,2799.0,2012.0,2.0,3.0,2.0,2.0,3.0,92.0,94.6,2.0,100.0,12.4,3.0,2.0,2.0,44.0,52.0,36.0,26.0,53.1,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,10.0,28.8,100.0,100.0,1.5,9.4,84.0,8.3,0.9,5.0,1.0,93.0,9.4,8.9,386635.3
508,3.1,112.46,69473.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,77.2,0.238,0.262,0.98,2770.0,2018.0,4.0,2.0,2.0,2.0,3.0,88.0,89.6,2.0,100.0,12.4,3.0,3.0,2.0,54.0,60.0,38.0,14.0,76.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,10.1,28.8,100.0,100.0,1.5,9.4,85.0,8.2,0.9,3.0,-1.0,93.0,9.504950495049505,9.207920792079209,393427.92079207924
509,2.0,137.02,69473.0,100.0,100.0,100.0,2.0,2.0,100.0,100.0,71.7,0.251,0.262,0.98,2762.0,1979.0,4.0,3.0,2.0,2.0,3.0,82.0,89.6,2.0,100.0,12.4,3.0,3.0,2.0,52.0,64.0,40.0,32.0,50.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,10.1,28.8,100.0,100.0,1.5,9.4,85.0,8.1,0.9,2.0,0.0,94.5,9.702970297029703,9.504950495049505,395492.57425742573
511,2.2,76.64,78989.0,100.0,100.0,99.0,2.0,2.0,100.0,100.0,97.7,0.537,0.579,0.59,4497.0,3414.0,2.0,3.0,1.0,2.0,3.0,78.9,96.4,2.0,100.0,13.4,3.0,2.0,2.0,59.6,36.5,21.2,11.5,44.4,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,8.5,32.7,100.0,100.0,1.4,9.1,86.0,8.3,0.8,2.0,6.0,89.1,10.470588235294118,10.235294117647058,444225.4117647059
512,3.3,88.02,84392.0,100.0,100.0,99.0,2.0,2.0,100.0,100.0,100.0,0.537,0.586,0.68,4446.0,3351.0,2.0,3.0,2.0,2.0,3.0,84.0,96.4,2.0,100.0,13.4,3.0,2.0,2.0,54.0,48.0,28.0,26.0,59.6,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,8.5,32.7,100.0,100.0,1.4,9.0,85.0,8.3,0.9,3.0,3.0,89.7,10.588235294117647,10.235294117647058,460790.5882352941
513,3.2,114.12,84392.0,100.0,100.0,99.0,2.0,2.0,100.0,100.0,90.0,0.537,0.586,0.68,4524.0,3302.0,4.0,3.0,2.0,2.0,3.0,84.0,95.5,2.0,100.0,13.4,3.0,2.0,2.0,54.0,48.0,28.0,26.0,59.6,2.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,8.6,32.7,100.0,100.0,1.4,9.0,85.0,8.2,0.9,3.0,5.0,89.7,11.046511627906977,10.697674418604652,451613.72093023255
514,0.0,152.79,84392.0,100.0,100.0,99.0,2.0,2.0,100.0,100.0,84.3,0.278,0.586,0.68,4504.0,3230.0,4.0,2.0,2.0,2.0,2.0,82.4,95.5,2.0,100.0,13.4,3.0,2.0,2.0,58.8,37.3,25.5,19.6,52.9,2.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,8.7,32.7,100.0,100.0,1.4,9.0,85.0,8.2,0.9,0.0,2.0,93.1,10.114942528735632,10.114942528735632,446436.78160919546
516,8.2,45.32,712971.0,100.0,100.0,99.5,2.0,1.0,99.0,99.0,47.9,0.313,0.805,0.58,2756.0,4568.0,2.0,3.0,2.0,2.0,3.0,90.0,58.4,2.0,100.0,10.7,3.0,2.0,2.0,32.0,48.0,32.0,24.0,41.7,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,23.6,33.6,99.0,100.0,1.8,7.8,61.0,7.6,0.5,7.0,4.0,79.7,3.601694915254237,3.3050847457627115,240932.33050847455
517,-3.9,60.77,712971.0,100.0,100.0,99.6,2.0,1.0,99.0,99.0,49.6,0.313,0.725,0.49,2658.0,4486.0,2.0,3.0,2.0,2.0,3.0,96.0,58.4,2.0,100.0,10.7,3.0,1.0,2.0,44.0,50.0,30.0,30.0,45.7,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,23.6,33.6,99.0,100.0,1.7,7.7,63.0,7.6,0.6,-3.0,-2.0,79.7,3.2203389830508473,3.347457627118644,242100.33898305084
518,4.3,139.34,1701373.0,100.0,100.0,99.9,2.0,1.0,99.0,99.0,49.6,0.313,0.725,0.49,2626.0,4325.0,4.0,3.0,2.0,2.0,3.0,86.0,59.7,2.0,100.0,10.8,3.0,1.0,2.0,34.0,46.0,16.0,12.0,30.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,23.6,33.6,99.0,100.0,1.7,7.7,63.0,7.7,0.6,4.0,3.0,86.2,3.9830508474576267,3.813559322033898,242585.67796610168
519,-3.5,144.1,2045055.0,100.0,100.0,99.9,2.0,1.0,99.0,99.0,54.8,0.264,0.725,0.49,2646.0,4059.0,4.0,3.0,2.0,2.0,3.0,96.0,59.7,2.0,100.0,10.8,3.0,1.0,2.0,50.0,62.0,28.0,32.0,42.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,23.6,33.6,99.0,100.0,1.7,7.7,65.0,7.7,0.7,-3.0,0.0,88.8,3.644067796610169,3.771186440677966,247096.0593220339
521,56.0,7.29,1702.0,95.0,85.0,13.0,0.0,2.0,65.3,17.09,23.7,5.83,5.114,34.09,2639.0,5127.0,2.0,2.0,1.0,2.0,1.0,88.0,27.0,0.0,77.9,6.0,3.0,1.0,2.0,48.0,46.0,36.0,24.0,60.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,54.7,40.5,32.73,32.0,1.9,5.8,32.0,5.0,0.4,14.0,11.0,13.5,0.45703839122486284,0.20109689213893966,5822.193784277879
522,41.7,9.07,1452.0,95.0,85.0,13.0,0.0,2.0,65.3,16.75,27.0,5.76,4.995,23.31,2657.0,4769.0,2.0,3.0,1.0,2.0,2.0,81.5,27.0,0.0,77.9,6.0,2.0,1.0,2.0,50.0,53.7,46.3,35.2,63.6,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,56.3,40.5,35.56,12.4,1.8,5.5,36.0,5.0,0.4,10.0,10.0,16.0,0.4262877442273535,0.24866785079928952,13560.674955595028
523,53.1,12.08,1452.0,95.0,85.0,13.0,0.0,2.0,72.5,18.4,26.6,5.108,4.995,23.31,2595.0,3759.0,3.0,3.0,1.0,2.0,1.0,82.0,43.3,1.0,77.9,6.0,3.0,1.0,2.0,62.0,54.0,32.0,36.0,60.9,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,58.0,40.5,35.56,12.4,1.9,5.4,36.0,5.0,0.4,17.0,12.0,16.0,0.5517241379310345,0.25862068965517243,14848.862068965518
524,51.7,13.28,1452.0,95.0,85.0,13.0,0.0,0.0,70.5,23.1,37.0,6.53,4.995,23.31,2536.0,3247.0,3.0,3.0,1.0,2.0,1.0,86.0,43.3,0.0,77.9,6.0,3.0,1.0,2.0,64.0,68.0,44.0,24.0,54.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,59.7,40.5,35.56,12.4,1.8,5.2,37.0,5.0,0.4,15.0,12.0,16.0,0.4857621440536013,0.23450586264656614,17297.604690117252
526,13.5,33.54,90768.0,98.0,98.0,98.0,2.0,2.0,100.0,100.0,44.0,1.31,1.187,3.82,3351.0,2923.0,2.0,0.0,1.0,2.0,3.0,100.0,68.0,2.0,92.9,7.6,3.0,2.0,2.0,74.0,52.0,38.0,30.0,74.5,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,69.2,36.5,99.9,96.7,2.3,4.9,35.0,6.6,0.6,7.0,2.0,47.5,0.7514450867052023,0.6502890173410404,104320.80924855491
527,15.3,43.17,119159.0,98.0,98.0,98.0,2.0,2.0,100.0,100.0,47.1,1.22,0.438,3.8,3361.0,2842.0,2.0,1.0,1.0,2.0,3.0,96.1,68.0,2.0,92.9,7.7,1.0,0.0,0.0,66.7,62.7,49.0,27.5,60.9,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,69.4,36.4,100.0,96.7,2.3,4.6,37.0,6.6,0.7,9.0,3.0,52.9,0.8501440922190201,0.7204610951008645,118270.89337175792
528,-1.9,69.84,113876.0,98.0,98.0,98.0,2.0,2.0,100.0,100.0,58.2,1.144,0.438,3.8,3376.0,2825.0,4.0,1.0,1.0,2.0,2.0,96.0,73.5,2.0,92.9,7.7,1.0,0.0,2.0,68.0,44.0,36.0,22.0,60.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,69.6,36.4,100.0,96.7,2.3,4.6,36.0,6.6,0.7,-1.0,1.0,56.8,0.7614942528735633,0.7758620689655173,132025.86206896554
529,11.8,148.58,99602.0,98.0,98.0,98.0,2.0,2.0,100.0,100.0,53.4,1.121,0.438,3.8,3395.0,2835.0,4.0,1.0,1.0,2.0,2.0,78.0,73.5,2.0,93.8,7.7,1.0,0.0,2.0,62.0,28.0,18.0,14.0,48.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,69.8,36.4,100.0,99.7,2.2,6.3,36.0,6.6,0.8,8.0,3.0,66.7,0.9742120343839542,0.8595988538681949,144825.4871060172
533,0.0,45.41,170592.0,100.0,100.0,75.0,2.0,2.0,100.0,99.0,53.3,3.646,0.612,1.52,5177.0,2907.0,4.0,1.0,1.0,2.0,2.0,92.0,57.9,0.0,99.0,11.0,3.0,3.0,2.0,62.0,54.0,36.0,28.0,62.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.4,40.3,100.0,82.8,2.1,7.2,41.0,5.6,0.6,0.0,4.0,77.3,54.28571428571429,54.28571428571429,244428.57142857145
534,0.0,56.39,170592.0,100.0,100.0,75.0,2.0,2.0,100.0,98.3,57.1,2.855,0.612,1.52,5151.0,3194.0,4.0,1.0,1.0,2.0,2.0,94.0,57.9,0.0,99.0,11.0,3.0,0.0,2.0,54.0,38.0,24.0,18.0,62.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,1.4,40.3,100.0,82.8,2.1,7.2,40.0,5.6,0.7,0.0,4.0,77.3,54.28571428571429,54.28571428571429,246239.28571428574
537,4.4,8.24,37051.0,99.0,99.0,87.0,2.0,1.0,100.0,100.0,37.4,1.238,1.127,1.48,3431.0,2463.0,2.0,2.0,1.0,2.0,2.0,86.8,47.0,1.0,81.1,7.1,3.0,3.0,2.0,39.6,47.2,20.8,18.9,40.5,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,11.6,32.8,99.8,43.1,2.0,6.3,42.0,5.1,0.6,2.0,7.0,55.5,3.8793103448275863,3.706896551724138,69119.39655172414
538,10.0,9.55,44319.0,99.0,99.0,96.0,2.0,1.0,100.0,100.0,44.6,1.208,1.127,1.48,3483.0,2467.0,4.0,2.0,1.0,2.0,2.0,94.0,58.1,1.0,81.1,7.2,3.0,3.0,2.0,50.0,50.0,42.0,26.0,51.1,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,11.7,32.8,99.8,97.4,2.1,6.4,43.0,5.1,0.6,6.0,8.0,64.2,5.128205128205129,4.615384615384616,86700.42735042736
539,10.6,9.15,58103.0,99.0,99.0,96.0,1.0,2.0,100.0,100.0,35.5,1.305,1.127,1.48,3514.0,2373.0,4.0,2.0,1.0,2.0,1.0,82.0,58.1,1.0,81.1,7.2,3.0,3.0,2.0,42.0,40.0,28.0,22.0,38.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,11.8,32.8,99.8,97.4,2.1,6.7,43.0,5.0,0.7,5.0,7.0,66.7,3.9830508474576267,3.559322033898305,101132.11864406778
541,22.8,15.47,66061.0,99.67,96.04,82.5,2.0,2.0,100.0,100.0,41.9,0.57,1.599,0.92,3489.0,4281.0,2.0,2.0,2.0,2.0,3.0,86.0,62.0,0.0,96.2,7.6,2.0,4.0,2.0,48.0,68.0,30.0,32.0,69.3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,81.1,41.4,100.0,86.0,2.8,5.0,41.0,6.2,0.6,18.0,13.0,58.3,0.9741060419235512,0.7521578298397041,129465.99260172628
542,9.6,17.39,84111.0,99.84,97.38,86.52,2.0,2.0,100.0,100.0,45.3,0.5,1.358,0.84,3475.0,4323.0,2.0,2.0,2.0,2.0,3.0,94.1,62.0,0.0,96.2,7.7,2.0,3.0,2.0,52.9,66.7,29.4,9.8,64.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,82.3,41.9,100.0,86.0,2.9,4.9,40.0,6.1,0.7,7.0,3.0,64.7,0.8869987849331713,0.8019441069258809,144895.56500607534
