,1.1.4) Gender gap in internet access,1.2.2) Average fixed broadband download speed,1.2.7) Bandwidth capacity,1.3.1) Network coverage (min. 2G),1.3.2) Network coverage (min. 3G),1.3.3) Network coverage (min. 4G),1.3.5) Government initiatives to make Wi-Fi available,1.3.6) Private sector initiatives to make Wi-Fi available,1.4.1) Urban electricity access,1.4.2) Rural electricity access,2.1.1) Smartphone cost (handset),2.1.2) Mobile phone cost (prepaid tariff),2.1.3) Mobile phone cost (postpaid tariff),2.1.4) Fixed-line monthly broadband cost,2.2.2) Wireless operators' market share,2.2.3) Broadband operators' market share,3.1.1) Availability of local news in local languages,3.1.2) Concentration of websites using country-level domains,3.1.3) Availability of e-Government services in the local language,3.2.1) e-Finance content,3.2.3) e-Health content,3.2.5) e-Entertainment usage,3.2.6) e-Commerce content,3.2.8) Open data policies,4.1.1) Level of literacy,4.1.2) Educational attainment,4.1.3) Support for digital literacy,4.1.4) Level of web accessibility,4.2.1) Privacy regulations,4.2.2) Trust in online privacy,4.2.3) Trust in Government websites and apps,4.2.4) Trust in Non-government websites and apps,4.2.5) Trust in information from social media,4.2.6) e-Commerce safety,4.3.1.1) Comprehensive female e-inclusion plan,4.3.1.2) Female digital skills training plan,4.3.1.3) Female STEM education plan,4.3.2) Government e-inclusion strategy,4.3.3) National broadband strategy,4.3.4) Funding for broadband buildout,4.3.5) Technology-neutrality policy for spectrum use,4.3.6) National digital identification system,BG2) Population,BG5) GINI coefficient,BG7) Total electricity access,BG9) Percentage of schools with Internet access,BG10) Global Peace Index,BG11) Democracy Index,BG12) Corruption Perceptions Index,BG13) EIU Business Environment Rankings,BG14) UN E-Government Development Index,BG17) Internet access gender gap,BG18) Mobile phone access gender gap,BG19) Internet users (percent of population),BG20) Male internet users,BG21) Female internet users,BG24) Total fixed line broadband subscribers
431,14.8,48.4,53633.0,99.8,99.3,98.8,2.0,2.0,100.0,100.0,70.4,1.142,0.632,1.53,3403.0,3298.0,2.0,3.0,2.0,2.0,2.0,94.0,68.0,2.0,95.7,9.2,3.0,3.0,2.0,44.0,78.0,40.0,14.0,64.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,10.3,33.8,100.0,100.0,1.3,7.9,62.0,6.9,0.7,12.0,7.0,70.4,7.864077669902912,6.699029126213592,327727.86407766986
432,8.8,65.09,53079.0,99.88,99.5,98.9,2.0,2.0,100.0,100.0,75.0,1.142,1.012,1.55,3413.0,3249.0,2.0,2.0,2.0,2.0,3.0,100.0,68.0,2.0,95.7,9.2,3.0,0.0,2.0,35.3,58.8,41.2,29.4,80.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,10.3,33.8,100.0,100.0,1.3,7.8,63.0,6.9,0.8,7.0,9.0,73.8,7.766990291262135,7.0873786407766985,347052.2330097087
433,14.4,85.0,68283.0,99.88,99.2,99.2,1.0,2.0,100.0,100.0,73.3,1.142,1.012,1.55,3400.0,3251.0,4.0,3.0,2.0,2.0,3.0,98.0,76.8,2.0,96.1,9.2,3.0,2.0,2.0,46.0,56.0,42.0,22.0,73.5,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,10.3,33.8,100.0,100.0,1.2,7.8,64.0,6.9,0.8,13.0,6.0,74.7,8.737864077669903,7.475728155339805,367445.0485436893
434,5.5,108.7,75025.0,99.88,99.8,99.8,2.0,2.0,100.0,100.0,73.3,0.787,1.012,1.55,3380.0,3212.0,4.0,3.0,2.0,2.0,3.0,82.4,76.8,2.0,96.1,9.2,3.0,2.0,2.0,47.1,43.1,37.3,15.7,66.7,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,10.3,33.8,100.0,100.0,1.2,8.0,62.0,6.9,0.8,5.0,6.0,75.3,8.834951456310678,8.349514563106796,385212.33009708737
436,2.6,27.41,78417.0,100.0,99.64,99.04,2.0,2.0,100.0,98.5,100.0,0.103,0.309,1.29,5627.0,9646.0,2.0,2.0,1.0,2.0,2.0,94.0,62.0,2.0,93.1,9.7,3.0,2.0,2.0,62.0,68.0,34.0,36.0,61.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.7,41.1,100.0,59.8,1.7,3.2,61.0,7.1,0.7,2.4,4.5,95.1,34.85185185185185,33.96296296296296,93969.62962962962
437,2.6,30.99,85922.0,100.0,99.7,99.5,2.0,2.0,100.0,98.5,97.4,0.103,0.506,1.41,5627.0,9743.0,2.0,1.0,2.0,2.0,3.0,73.6,62.0,2.0,93.5,9.7,3.0,4.0,2.0,32.1,77.4,37.7,28.3,58.3,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.8,34.4,100.0,100.0,1.9,3.2,63.0,6.7,0.7,2.4,5.4,97.4,33.607142857142854,32.75,91628.57142857143
438,2.6,52.31,106060.0,100.0,100.0,99.5,2.0,2.0,100.0,100.0,100.0,0.103,0.506,1.41,5308.0,9494.0,4.0,2.0,2.0,2.0,3.0,94.0,74.2,2.0,93.5,9.7,3.0,4.0,2.0,36.0,60.0,46.0,40.0,60.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.8,34.4,100.0,100.0,1.7,3.2,62.0,6.7,0.7,2.4,0.5,99.7,33.607142857142854,32.75,95680.71428571429
439,0.7,85.79,136665.0,100.0,100.0,99.5,2.0,2.0,100.0,98.3,100.0,0.407,0.506,1.41,5409.0,8890.0,4.0,1.0,2.0,2.0,3.0,92.7,74.2,2.0,93.5,9.7,3.0,3.0,2.0,54.5,67.3,47.3,36.4,72.7,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.9,34.4,100.0,100.0,1.6,3.2,62.0,6.8,0.7,0.7,0.2,99.7,34.48275862068966,34.241379310344826,98165.1724137931
441,4.6,94.25,49238.0,99.99,99.96,75.2,2.0,2.0,100.0,100.0,59.2,0.831,0.46,0.86,2837.0,3170.0,2.0,2.0,1.0,2.0,2.0,98.0,69.0,2.0,98.8,11.0,2.0,2.0,2.0,26.0,46.0,22.0,16.0,58.3,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,19.7,36.0,100.0,80.2,1.6,6.6,48.0,6.3,0.6,3.0,4.0,59.5,3.299492385786802,3.1472081218274113,225862.94416243656
442,4.5,108.99,49885.0,99.96,99.96,88.54,2.0,2.0,100.0,100.0,62.8,0.831,0.436,0.82,2841.0,3119.0,2.0,2.0,1.0,2.0,2.0,94.1,69.0,2.0,98.8,11.0,3.0,2.0,2.0,66.7,47.1,33.3,27.5,84.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,19.5,36.0,100.0,78.3,1.6,6.4,48.0,6.4,0.7,3.0,3.0,63.7,3.3846153846153846,3.230769230769231,243764.10256410256
